Sr. No.,Hotel Code,State,Cost,Ratings
1,TN68367619,Tamilnadu,720,4.6
2,MH84778017,Maharashtra,560,5.4
3,TN11397489,Tamilnadu,1760,9.3
4,MH09379534,Maharashtra,680,9.8
5,TN01526325,Tamilnadu,560,2.8
6,TN60180797,Tamilnadu,420,9.2
7,KA55993890,Karnataka,910,5.7
8,TN22355225,Tamilnadu,1430,3.4
9,KA03831069,Karnataka,2110,9.5
10,KA69526916,Karnataka,870,9.8
11,TN44085124,Tamilnadu,960,4.6
12,MH40686103,Maharashtra,1190,2.2
13,TN22055569,Tamilnadu,600,3.5
14,MH06829506,Maharashtra,580,8.8
15,TN58122983,Tamilnadu,1750,7.2
16,TN02001814,Tamilnadu,1610,2.7
17,KA45379284,Karnataka,910,6.9
18,MH85842076,Maharashtra,1010,6.1
19,KA00976749,Karnataka,1500,3.5
20,TN02655796,Tamilnadu,610,8.6
21,MH49380798,Maharashtra,700,7.8
22,TN83041433,Tamilnadu,700,6.7
23,MH04716020,Maharashtra,1490,6.8
24,KA61084810,Karnataka,470,9.2
25,MH77175106,Maharashtra,1440,9.8
26,MH53980663,Maharashtra,1850,5.1
27,KA03561331,Karnataka,820,4.0
28,MH70170207,Maharashtra,1210,9.3
29,KA91510211,Karnataka,2160,5.7
30,MH43674602,Maharashtra,1830,3.7
31,KA30309289,Karnataka,820,9.8
32,TN71031088,Tamilnadu,1980,6.2
33,TN75056049,Tamilnadu,1280,8.3
34,MH85511309,Maharashtra,830,6.8
35,MH24441155,Maharashtra,1780,3.3
36,TN76210648,Tamilnadu,480,5.7
37,KA41019153,Karnataka,890,4.7
38,TN84833709,Tamilnadu,1530,3.5
39,MH86959346,Maharashtra,1090,8.2
40,TN91378149,Tamilnadu,900,5.6
41,MH56822069,Maharashtra,2160,9.1
42,TN78751859,Tamilnadu,700,8.0
43,KA52335211,Karnataka,540,6.4
44,MH39871947,Maharashtra,760,2.1
45,TN40817750,Tamilnadu,640,7.9
46,KA65648551,Karnataka,1280,9.0
47,KA49783032,Karnataka,1590,9.9
48,TN87465471,Tamilnadu,2200,2.9
49,TN49796605,Tamilnadu,2010,2.2
50,TN54540422,Tamilnadu,820,5.7
51,TN34556283,Tamilnadu,2160,6.9
52,MH03970362,Maharashtra,1120,6.1
53,TN69492341,Tamilnadu,1600,2.4
54,KA95321196,Karnataka,1160,8.9
55,KA45879746,Karnataka,460,7.8
56,MH86800075,Maharashtra,1030,2.9
57,TN84081551,Tamilnadu,1510,5.8
58,TN76831997,Tamilnadu,1490,3.1
59,KA11518129,Karnataka,950,6.5
60,TN62993715,Tamilnadu,1540,7.2
61,TN31938051,Tamilnadu,1160,7.4
62,TN69692543,Tamilnadu,1510,5.8
63,MH61086821,Maharashtra,1670,7.7
64,TN59161691,Tamilnadu,1530,9.5
65,TN00723329,Tamilnadu,530,8.2
66,KA80373063,Karnataka,2200,2.5
67,MH56565690,Maharashtra,530,9.0
68,KA84005205,Karnataka,1480,8.3
69,KA49716719,Karnataka,530,7.1
70,KA95050171,Karnataka,550,7.3
71,TN77699589,Tamilnadu,2070,5.9
72,KA47041363,Karnataka,1360,3.1
73,KA55135702,Karnataka,1050,3.0
74,TN83031304,Tamilnadu,580,2.9
75,TN02475943,Tamilnadu,1670,4.4
76,KA73605430,Karnataka,1980,6.8
77,TN15182425,Tamilnadu,650,4.6
78,TN27600191,Tamilnadu,1740,2.9
79,TN19424538,Tamilnadu,2050,4.8
80,KA26518176,Karnataka,410,3.3
81,TN26718606,Tamilnadu,830,2.5
82,KA25779875,Karnataka,700,9.3
83,MH68401047,Maharashtra,920,2.2
84,MH21288487,Maharashtra,1580,8.5
85,KA33702780,Karnataka,2100,7.0
86,MH39215314,Maharashtra,1970,4.8
87,MH05823765,Maharashtra,1720,5.7
88,KA37424497,Karnataka,480,3.2
89,KA83178832,Karnataka,2060,2.3
90,MH78044975,Maharashtra,1010,4.3
91,TN19429908,Tamilnadu,800,3.4
92,TN87350982,Tamilnadu,640,7.0
93,TN25254464,Tamilnadu,890,8.9
94,MH77544001,Maharashtra,1240,7.5
95,KA39530042,Karnataka,980,7.8
96,TN96995129,Tamilnadu,2140,2.7
97,KA55292184,Karnataka,970,2.3
98,KA25115604,Karnataka,710,2.7
99,MH35017684,Maharashtra,1310,4.9
100,TN51438395,Tamilnadu,630,7.8
101,TN67681938,Tamilnadu,1800,5.3
102,KA90982354,Karnataka,1820,5.2
103,MH37877880,Maharashtra,640,5.2
104,KA54077881,Karnataka,1930,4.3
105,TN77788634,Tamilnadu,1290,4.3
106,KA25673715,Karnataka,1730,5.5
107,MH70211405,Maharashtra,2170,3.3
108,TN36687428,Tamilnadu,1980,4.0
109,KA00631556,Karnataka,2170,9.9
110,KA29434916,Karnataka,1650,6.0
111,KA88246826,Karnataka,1600,9.5
112,MH14125959,Maharashtra,900,7.3
113,MH14609404,Maharashtra,1460,9.0
114,TN91339287,Tamilnadu,880,2.3
115,TN13491901,Tamilnadu,1380,6.4
116,TN94350104,Tamilnadu,1560,5.8
117,MH44609627,Maharashtra,930,2.9
118,MH99589295,Maharashtra,1490,5.7
119,KA04072980,Karnataka,2100,9.3
120,MH31045865,Maharashtra,1350,4.7
121,MH18352979,Maharashtra,640,4.3
122,TN38396274,Tamilnadu,2200,8.5
123,MH62582841,Maharashtra,1710,9.4
124,MH48292948,Maharashtra,1830,4.3
125,MH88086712,Maharashtra,1320,2.6
126,MH68454524,Maharashtra,1540,8.4
127,MH20471989,Maharashtra,580,8.7
128,KA50335534,Karnataka,1800,9.7
129,TN08925923,Tamilnadu,1780,2.1
130,KA87417739,Karnataka,1600,7.5
131,TN53785190,Tamilnadu,1050,8.5
132,KA26199115,Karnataka,1910,6.4
133,MH99133467,Maharashtra,980,8.4
134,TN89426609,Tamilnadu,1730,8.3
135,MH73634133,Maharashtra,1030,2.7
136,TN34811962,Tamilnadu,1380,3.9
137,MH77648327,Maharashtra,1120,4.6
138,KA97995425,Karnataka,670,5.8
139,KA51358426,Karnataka,510,7.7
140,MH48608312,Maharashtra,950,7.3
141,TN78564435,Tamilnadu,1950,6.8
142,TN70998719,Tamilnadu,620,8.7
143,KA94084504,Karnataka,1900,6.5
144,MH01297676,Maharashtra,510,8.2
145,TN69569623,Tamilnadu,1300,4.7
146,TN40173849,Tamilnadu,1090,9.8
147,TN95467665,Tamilnadu,1600,9.3
148,TN66427469,Tamilnadu,1550,2.1
149,KA29411443,Karnataka,730,2.2
150,MH45378614,Maharashtra,1100,5.2
151,TN94372991,Tamilnadu,1940,4.8
152,MH57063935,Maharashtra,1900,8.7
153,MH66500155,Maharashtra,1410,5.3
154,TN69249099,Tamilnadu,1880,3.4
155,MH80856573,Maharashtra,560,7.1
156,MH82888657,Maharashtra,580,2.5
157,MH35298748,Maharashtra,1490,8.6
158,KA66105398,Karnataka,1800,3.1
159,TN60244383,Tamilnadu,1220,4.2
160,KA39465283,Karnataka,1670,10.0
161,KA47372788,Karnataka,510,4.8
162,TN81769711,Tamilnadu,1500,6.7
163,TN95525891,Tamilnadu,1940,4.9
164,TN33634272,Tamilnadu,1240,6.3
165,MH82083144,Maharashtra,1450,5.6
166,TN41686157,Tamilnadu,2100,6.9
167,TN22978066,Tamilnadu,650,9.7
168,MH39192165,Maharashtra,2040,7.6
169,KA17747110,Karnataka,1500,5.3
170,TN49643961,Tamilnadu,990,9.6
171,MH63390414,Maharashtra,560,3.1
172,KA14281105,Karnataka,810,6.1
173,TN68170752,Tamilnadu,1210,7.8
174,KA65625453,Karnataka,980,6.3
175,KA83483691,Karnataka,850,8.6
176,MH73834038,Maharashtra,2160,8.7
177,KA38688706,Karnataka,690,3.9
178,KA34701201,Karnataka,1900,8.1
179,TN16536739,Tamilnadu,920,8.9
180,KA02271149,Karnataka,880,5.5
181,TN73418665,Tamilnadu,2160,2.8
182,TN63717518,Tamilnadu,1210,8.9
183,KA42762133,Karnataka,570,6.3
184,TN52804410,Tamilnadu,2050,3.6
185,MH09164314,Maharashtra,1090,4.9
186,KA41539552,Karnataka,1110,2.8
187,KA23281240,Karnataka,1970,3.3
188,KA06971502,Karnataka,600,9.3
189,TN32222289,Tamilnadu,680,8.2
190,TN36163717,Tamilnadu,1670,2.2
191,KA15992604,Karnataka,1860,8.7
192,TN66533313,Tamilnadu,1750,5.6
193,MH79880831,Maharashtra,1050,7.2
194,MH23683846,Maharashtra,940,9.7
195,MH46237057,Maharashtra,740,9.6
196,TN37671846,Tamilnadu,640,3.1
197,KA25922585,Karnataka,550,7.6
198,MH87185607,Maharashtra,1690,8.5
199,MH49197778,Maharashtra,400,9.8
200,KA41960509,Karnataka,1290,6.9
201,KA05586868,Karnataka,1560,5.9
202,TN56299410,Tamilnadu,2070,4.8
203,KA81743674,Karnataka,1450,8.7
204,KA50163205,Karnataka,920,2.1
205,MH56121247,Maharashtra,2010,5.9
206,MH73571568,Maharashtra,1420,9.3
207,MH18262124,Maharashtra,850,9.6
208,TN05567355,Tamilnadu,820,7.2
209,MH59966692,Maharashtra,790,5.8
210,TN65993408,Tamilnadu,1350,2.5
211,KA86005623,Karnataka,1630,5.8
212,KA54700444,Karnataka,2200,4.2
213,TN34993460,Tamilnadu,1060,8.8
214,TN66440857,Tamilnadu,1900,3.4
215,MH45456343,Maharashtra,1370,6.8
216,KA63911442,Karnataka,1070,9.7
217,MH43119646,Maharashtra,1980,7.6
218,KA33482804,Karnataka,1300,8.7
219,TN59661252,Tamilnadu,1770,6.7
220,TN79288750,Tamilnadu,600,5.2
221,KA79270816,Karnataka,2020,3.7
222,KA78111394,Karnataka,1310,3.3
223,MH09946163,Maharashtra,1810,4.9
224,KA12787005,Karnataka,1060,7.3
225,KA25426021,Karnataka,2200,7.2
226,TN26419343,Tamilnadu,2190,2.8
227,KA48769860,Karnataka,1090,8.8
228,MH15493859,Maharashtra,880,6.7
229,MH92577930,Maharashtra,520,7.3
230,MH97523369,Maharashtra,760,6.4
231,MH32490473,Maharashtra,2030,7.9
232,KA89242803,Karnataka,680,6.4
233,KA58260166,Karnataka,860,8.4
234,TN63625189,Tamilnadu,590,8.0
235,KA14958885,Karnataka,1170,7.1
236,KA09631113,Karnataka,1440,4.8
237,KA77428400,Karnataka,2000,9.4
238,TN50997695,Tamilnadu,1880,5.1
239,TN41705773,Tamilnadu,2090,5.6
240,KA62564410,Karnataka,2040,2.7
241,MH50383108,Maharashtra,1990,4.1
242,TN48713177,Tamilnadu,2180,9.9
243,MH31087308,Maharashtra,400,6.4
244,KA20558284,Karnataka,930,4.6
245,TN51883959,Tamilnadu,850,7.0
246,TN22908339,Tamilnadu,1720,5.2
247,TN98776795,Tamilnadu,1710,6.8
248,MH85877030,Maharashtra,2000,4.0
249,MH97095279,Maharashtra,1180,7.4
250,KA62002882,Karnataka,1480,9.5
251,MH46811981,Maharashtra,750,5.1
252,KA93685245,Karnataka,590,4.1
253,MH55550932,Maharashtra,1440,8.0
254,MH01600261,Maharashtra,500,8.2
255,MH88021966,Maharashtra,1800,4.9
256,KA96352038,Karnataka,490,8.5
257,TN55256889,Tamilnadu,790,5.1
258,TN56029741,Tamilnadu,1940,7.0
259,TN44162337,Tamilnadu,610,10.0
260,KA45570551,Karnataka,1410,2.2
261,MH88305929,Maharashtra,1150,3.8
262,MH24788878,Maharashtra,1270,5.4
263,KA80734260,Karnataka,1150,5.6
264,MH33015927,Maharashtra,2190,5.5
265,MH44097240,Maharashtra,580,6.3
266,TN66170525,Tamilnadu,1770,9.3
267,KA45291753,Karnataka,410,2.3
268,TN75153199,Tamilnadu,1020,4.7
269,MH53541840,Maharashtra,1070,7.9
270,TN74175529,Tamilnadu,460,3.2
271,KA75126575,Karnataka,1120,3.9
272,KA65788912,Karnataka,1870,3.8
273,TN47909670,Tamilnadu,1940,4.9
274,TN57028514,Tamilnadu,1700,7.3
275,MH69039799,Maharashtra,2190,9.7
276,TN41059524,Tamilnadu,1000,2.9
277,TN77184160,Tamilnadu,1020,2.3
278,KA17207362,Karnataka,2120,7.2
279,MH57259598,Maharashtra,1150,8.9
280,KA13759094,Karnataka,1970,3.6
281,KA46790750,Karnataka,1330,6.7
282,TN39250452,Tamilnadu,1850,7.4
283,MH03431962,Maharashtra,910,5.6
284,MH03399798,Maharashtra,1130,8.1
285,KA64814216,Karnataka,840,7.5
286,KA42652342,Karnataka,2110,9.9
287,KA29789313,Karnataka,640,6.9
288,KA36078226,Karnataka,2160,6.8
289,KA60017710,Karnataka,1350,3.8
290,KA91812209,Karnataka,1940,2.7
291,TN79036238,Tamilnadu,490,3.4
292,TN53594648,Tamilnadu,1270,6.6
293,MH82058869,Maharashtra,1820,4.0
294,TN13425715,Tamilnadu,2090,5.4
295,MH52137785,Maharashtra,630,5.8
296,MH81283743,Maharashtra,1210,7.9
297,TN97127956,Tamilnadu,2180,6.7
298,MH84332257,Maharashtra,1930,4.2
299,MH05753994,Maharashtra,1090,9.7
300,KA27773918,Karnataka,1650,8.2
301,KA60297624,Karnataka,1030,8.3
302,TN47795143,Tamilnadu,1080,8.0
303,KA08906625,Karnataka,1390,7.0
304,MH35200123,Maharashtra,1150,6.8
305,KA04822820,Karnataka,2160,6.7
306,TN12668793,Tamilnadu,2050,3.5
307,TN90737879,Tamilnadu,1300,6.2
308,TN79097765,Tamilnadu,2000,9.5
309,TN98253524,Tamilnadu,460,8.2
310,MH31943659,Maharashtra,1090,7.7
311,MH91992789,Maharashtra,1230,3.4
312,MH98636334,Maharashtra,1440,8.1
313,MH52931611,Maharashtra,900,7.9
314,KA99892388,Karnataka,1460,5.9
315,TN11617709,Tamilnadu,460,4.0
316,MH13246310,Maharashtra,1060,5.3
317,TN39139443,Tamilnadu,980,9.7
318,MH67402588,Maharashtra,1410,7.4
319,KA39341778,Karnataka,660,3.6
320,MH55225946,Maharashtra,1840,7.9
321,KA16933163,Karnataka,1530,7.5
322,MH78611153,Maharashtra,1230,2.2
323,TN52193286,Tamilnadu,1070,3.4
324,MH75189709,Maharashtra,1720,7.2
325,MH49571011,Maharashtra,1600,9.7
326,MH66951728,Maharashtra,1850,6.7
327,MH18885712,Maharashtra,1150,3.6
328,KA76138607,Karnataka,1300,6.4
329,KA68270063,Karnataka,1130,9.0
330,TN93828390,Tamilnadu,890,7.4
331,MH22570598,Maharashtra,1980,4.7
332,KA99342869,Karnataka,1160,8.9
333,KA51001612,Karnataka,940,3.6
334,TN51470388,Tamilnadu,2190,7.9
335,KA46864642,Karnataka,730,8.8
336,KA24080941,Karnataka,530,8.0
337,MH39941725,Maharashtra,1250,9.9
338,KA73953937,Karnataka,1530,5.2
339,MH78649132,Maharashtra,1860,10.0
340,KA02545356,Karnataka,1250,5.9
341,TN42365938,Tamilnadu,720,4.9
342,TN39344991,Tamilnadu,2120,4.2
343,TN96039694,Tamilnadu,2170,6.2
344,MH62961752,Maharashtra,620,8.4
345,MH79640978,Maharashtra,1040,5.0
346,MH49952612,Maharashtra,1580,8.8
347,KA74250110,Karnataka,1410,2.9
348,KA97646020,Karnataka,1070,4.2
349,TN72362501,Tamilnadu,400,8.3
350,MH21768804,Maharashtra,1170,7.0
351,TN46723512,Tamilnadu,1480,8.4
352,TN15418722,Tamilnadu,1150,6.9
353,MH12328406,Maharashtra,950,6.6
354,MH09173453,Maharashtra,1590,3.9
355,TN28761983,Tamilnadu,1140,9.2
356,TN01195798,Tamilnadu,1460,7.0
357,TN11945390,Tamilnadu,1930,3.4
358,TN02060736,Tamilnadu,1660,3.9
359,TN20942885,Tamilnadu,1980,9.6
360,MH77640697,Maharashtra,1340,9.3
361,KA16377608,Karnataka,560,6.0
362,KA26232775,Karnataka,1290,8.0
363,KA27962534,Karnataka,920,8.3
364,KA09961692,Karnataka,2000,8.0
365,TN68879372,Tamilnadu,590,7.1
366,TN19210469,Tamilnadu,730,4.5
367,MH83333057,Maharashtra,1810,9.5
368,KA86837200,Karnataka,1150,5.8
369,TN32279344,Tamilnadu,1820,3.2
370,TN96036471,Tamilnadu,1170,10.0
371,KA76865978,Karnataka,700,4.7
372,KA42201663,Karnataka,800,4.6
373,TN93327121,Tamilnadu,1350,7.0
374,TN33745305,Tamilnadu,1690,9.2
375,KA48654869,Karnataka,1540,6.5
376,KA74714803,Karnataka,1420,9.5
377,TN91175199,Tamilnadu,2070,9.8
378,MH95728254,Maharashtra,1160,5.6
379,MH48766180,Maharashtra,1610,2.7
380,TN15949486,Tamilnadu,780,7.7
381,MH29740185,Maharashtra,1490,5.5
382,TN67981007,Tamilnadu,730,6.4
383,MH84061034,Maharashtra,800,4.9
384,MH24693813,Maharashtra,890,2.2
385,TN73340980,Tamilnadu,2000,2.3
386,KA80734055,Karnataka,1040,7.8
387,TN07699757,Tamilnadu,2090,5.5
388,TN54238442,Tamilnadu,1080,5.5
389,KA61055803,Karnataka,2090,3.9
390,TN98716333,Tamilnadu,2130,3.6
391,MH84279408,Maharashtra,1940,9.2
392,KA82617738,Karnataka,1750,8.4
393,MH14881541,Maharashtra,1640,3.6
394,MH44794545,Maharashtra,2200,4.9
395,MH44030421,Maharashtra,1570,2.8
396,TN75482909,Tamilnadu,720,5.2
397,KA00707466,Karnataka,1780,7.8
398,KA24396592,Karnataka,1640,3.7
399,TN69543074,Tamilnadu,1900,7.1
400,KA24527729,Karnataka,1570,5.3
401,TN52046575,Tamilnadu,2140,7.2
402,MH92369740,Maharashtra,2140,5.7
403,TN95905969,Tamilnadu,1200,9.5
404,MH27500965,Maharashtra,580,2.7
405,MH56696134,Maharashtra,1890,4.6
406,TN73200949,Tamilnadu,1490,5.8
407,TN89806128,Tamilnadu,1310,9.7
408,TN20471934,Tamilnadu,1430,2.5
409,TN63408430,Tamilnadu,2030,9.1
410,TN79274074,Tamilnadu,1840,5.1
411,TN81375202,Tamilnadu,530,9.9
412,TN20372446,Tamilnadu,770,5.0
413,TN68874148,Tamilnadu,1270,8.9
414,KA60844316,Karnataka,1030,7.9
415,MH87215229,Maharashtra,710,6.9
416,MH80112341,Maharashtra,1260,5.0
417,KA30898264,Karnataka,2090,5.0
418,KA00902533,Karnataka,1030,3.9
419,TN24967990,Tamilnadu,1880,5.5
420,KA77119933,Karnataka,1780,8.6
421,MH91284969,Maharashtra,1160,3.2
422,KA34881576,Karnataka,1350,7.8
423,TN48971980,Tamilnadu,1440,8.7
424,MH12089000,Maharashtra,1430,4.8
425,KA14141751,Karnataka,1700,9.0
426,MH78531093,Maharashtra,830,2.2
427,MH70807202,Maharashtra,880,4.4
428,KA08886262,Karnataka,1990,4.1
429,KA77167644,Karnataka,2030,6.9
430,MH10531389,Maharashtra,660,6.6
431,TN75264451,Tamilnadu,440,6.1
432,MH34735695,Maharashtra,1690,8.9
433,KA53041784,Karnataka,1880,7.0
434,MH21815270,Maharashtra,760,9.0
435,MH87106374,Maharashtra,560,5.3
436,MH19337364,Maharashtra,1530,6.6
437,MH69965180,Maharashtra,1590,5.3
438,TN71444758,Tamilnadu,1350,6.5
439,KA55693493,Karnataka,770,8.7
440,MH46860873,Maharashtra,540,7.1
441,KA87266931,Karnataka,2100,4.0
442,MH45964770,Maharashtra,830,9.8
443,MH71564609,Maharashtra,1100,3.6
444,KA67175017,Karnataka,630,3.1
445,TN52754661,Tamilnadu,530,9.2
446,KA18044010,Karnataka,590,9.0
447,KA50812509,Karnataka,1990,3.6
448,KA74508372,Karnataka,590,9.7
449,KA51378400,Karnataka,1390,9.1
450,MH36873531,Maharashtra,1480,5.2
451,KA45385124,Karnataka,1660,4.1
452,KA22852960,Karnataka,1320,4.8
453,MH05467808,Maharashtra,1710,7.0
454,MH57771724,Maharashtra,910,9.2
455,TN07590481,Tamilnadu,2100,5.2
456,KA72117620,Karnataka,1560,3.6
457,KA00199650,Karnataka,1780,3.0
458,TN58572627,Tamilnadu,2000,2.4
459,KA58966914,Karnataka,1070,5.9
460,MH04158233,Maharashtra,910,6.7
461,TN36935581,Tamilnadu,1760,6.6
462,KA51752484,Karnataka,1480,5.2
463,MH30349698,Maharashtra,1950,8.3
464,MH21484230,Maharashtra,2030,6.3
465,TN54447189,Tamilnadu,1930,2.6
466,TN07578748,Tamilnadu,890,8.8
467,MH81374953,Maharashtra,2030,9.7
468,MH49834192,Maharashtra,770,4.7
469,MH31722117,Maharashtra,2190,9.0
470,KA45653209,Karnataka,1700,6.0
471,KA03359068,Karnataka,600,8.1
472,MH72901045,Maharashtra,2100,7.2
473,KA33221380,Karnataka,1190,9.8
474,MH24161213,Maharashtra,880,9.1
475,TN69048838,Tamilnadu,1190,6.8
476,KA02306759,Karnataka,1850,5.8
477,TN65194591,Tamilnadu,1150,2.2
478,TN66946458,Tamilnadu,2160,5.1
479,TN57115139,Tamilnadu,610,5.1
480,KA47288652,Karnataka,660,9.6
481,MH82269265,Maharashtra,620,7.1
482,TN36370627,Tamilnadu,1120,7.3
483,MH82397777,Maharashtra,730,7.0
484,MH80148838,Maharashtra,490,2.4
485,MH41323106,Maharashtra,540,5.8
486,TN16175020,Tamilnadu,1810,3.0
487,KA83835117,Karnataka,1760,7.6
488,TN70059137,Tamilnadu,1770,5.6
489,KA56173246,Karnataka,450,8.6
490,KA60158215,Karnataka,640,5.4
491,TN66404279,Tamilnadu,1310,3.9
492,MH98316649,Maharashtra,730,3.9
493,TN67398140,Tamilnadu,1920,7.0
494,TN38075834,Tamilnadu,1270,9.5
495,MH25826807,Maharashtra,2160,3.4
496,TN62022958,Tamilnadu,710,6.7
497,KA73704737,Karnataka,1780,9.1
498,KA93492799,Karnataka,2060,5.3
499,MH75704322,Maharashtra,1440,9.6
500,MH06200718,Maharashtra,1940,4.9
501,TN59517948,Tamilnadu,1290,8.7
