Sr. No.,Hotel Code,State,Cost,Ratings
502,KA25255393,Karnataka,1870,6.6
503,MH81734054,Maharashtra,690,7.3
504,KA77274359,Karnataka,1400,4.3
505,KA16382343,Karnataka,2040,4.3
506,MH15058881,Maharashtra,2150,6.4
507,TN58787847,Tamilnadu,1520,7.1
508,TN05529254,Tamilnadu,2010,2.8
509,MH75893330,Maharashtra,1610,5.7
510,TN13196189,Tamilnadu,510,3.2
511,TN87125863,Tamilnadu,1510,4.4
512,MH87622461,Maharashtra,690,7.0
513,KA99945947,Karnataka,1930,6.4
514,MH56297089,Maharashtra,1410,3.9
515,MH75628673,Maharashtra,2070,5.3
516,MH47707047,Maharashtra,670,2.7
517,TN87413243,Tamilnadu,1530,4.5
518,MH25295900,Maharashtra,1100,4.6
519,TN33679129,Tamilnadu,740,8.8
520,KA17141345,Karnataka,1870,5.0
521,MH80997108,Maharashtra,670,5.4
522,MH52276552,Maharashtra,520,7.3
523,MH34359174,Maharashtra,2180,7.4
524,TN49738957,Tamilnadu,730,4.0
525,KA03475782,Karnataka,980,4.3
526,TN50516803,Tamilnadu,1070,7.5
527,MH34493731,Maharashtra,1880,2.3
528,MH01714616,Maharashtra,1920,4.0
529,KA95413280,Karnataka,1260,3.5
530,KA40673110,Karnataka,660,6.5
531,KA49392326,Karnataka,630,6.5
532,MH12093953,Maharashtra,1350,5.5
533,KA43507436,Karnataka,1110,3.7
534,TN10356616,Tamilnadu,1770,3.2
535,KA39076304,Karnataka,2020,7.5
536,TN03501047,Tamilnadu,1740,9.9
537,KA85734579,Karnataka,940,9.8
538,MH68373054,Maharashtra,1470,9.7
539,MH04546689,Maharashtra,1630,6.0
540,TN26764764,Tamilnadu,760,2.3
541,MH68878641,Maharashtra,2160,2.3
542,MH15196996,Maharashtra,560,8.8
543,TN61541757,Tamilnadu,1260,9.2
544,TN42766582,Tamilnadu,1600,2.1
545,TN07989834,Tamilnadu,1480,4.9
546,TN29244348,Tamilnadu,1150,4.2
547,MH95790701,Maharashtra,580,4.4
548,KA03462829,Karnataka,1550,2.2
549,MH37371609,Maharashtra,1980,4.8
550,TN08890337,Tamilnadu,1400,4.1
551,MH92790483,Maharashtra,1170,3.1
552,KA47055865,Karnataka,1270,3.8
553,TN69209864,Tamilnadu,1470,4.8
554,MH32096859,Maharashtra,1520,8.9
555,MH66269540,Maharashtra,1040,5.7
556,KA94553659,Karnataka,1760,5.6
557,TN70696721,Tamilnadu,1670,7.7
558,MH66915270,Maharashtra,540,9.3
559,MH48903943,Maharashtra,760,2.9
560,TN62040754,Tamilnadu,780,5.9
561,TN53497093,Tamilnadu,1380,6.2
562,KA41068779,Karnataka,1640,7.0
563,KA26614359,Karnataka,1690,7.3
564,TN21248948,Tamilnadu,1610,6.7
565,KA59836100,Karnataka,1210,2.8
566,MH55464475,Maharashtra,800,3.2
567,TN59688792,Tamilnadu,1670,4.0
568,TN34428917,Tamilnadu,2190,5.5
569,KA20897468,Karnataka,870,9.5
570,KA67917785,Karnataka,670,9.9
571,KA47261426,Karnataka,2110,4.3
572,MH68617943,Maharashtra,1370,2.7
573,MH74922345,Maharashtra,1280,7.3
574,MH83956782,Maharashtra,470,7.2
575,MH23054172,Maharashtra,540,9.2
576,KA31626880,Karnataka,880,2.7
577,KA03052860,Karnataka,1890,4.2
578,KA57888446,Karnataka,2180,3.5
579,MH73104582,Maharashtra,540,3.6
580,KA20468262,Karnataka,1850,6.6
581,KA21677960,Karnataka,1360,6.3
582,TN39447364,Tamilnadu,1880,2.1
583,TN83606199,Tamilnadu,1630,8.0
584,TN23338616,Tamilnadu,2000,6.3
585,KA34651384,Karnataka,560,3.4
586,KA23035478,Karnataka,2140,4.3
587,KA73772477,Karnataka,1280,6.6
588,MH21983443,Maharashtra,920,3.9
589,TN61329997,Tamilnadu,1650,2.9
590,KA94824957,Karnataka,1480,5.0
591,TN09080812,Tamilnadu,2190,6.7
592,KA89528891,Karnataka,480,3.7
593,MH09841482,Maharashtra,550,7.0
594,TN35590170,Tamilnadu,1160,8.3
595,KA95464893,Karnataka,610,7.1
596,KA32064810,Karnataka,1770,5.3
597,MH43803033,Maharashtra,500,7.0
598,KA57786490,Karnataka,2030,8.3
599,KA72891865,Karnataka,1950,2.6
600,TN80895206,Tamilnadu,1670,7.4
601,MH41770177,Maharashtra,2000,8.5
602,TN53909923,Tamilnadu,880,5.3
603,KA42504665,Karnataka,490,2.9
604,MH12872312,Maharashtra,1410,3.8
605,TN26924885,Tamilnadu,1940,5.0
606,KA24962391,Karnataka,830,5.8
607,KA96430705,Karnataka,400,2.8
608,MH21942358,Maharashtra,530,2.5
609,MH52031557,Maharashtra,460,2.5
610,TN93621243,Tamilnadu,1290,8.0
611,KA40980003,Karnataka,1490,4.6
612,TN61996403,Tamilnadu,780,6.5
613,KA76897771,Karnataka,1590,6.6
614,TN29096916,Tamilnadu,1670,3.9
615,KA88486185,Karnataka,2070,7.8
616,KA96481134,Karnataka,2000,6.7
617,KA50103775,Karnataka,2120,4.7
618,TN89785447,Tamilnadu,2080,8.9
619,KA68669751,Karnataka,480,6.4
620,TN61680791,Tamilnadu,2060,6.0
621,MH51330521,Maharashtra,1010,3.2
622,KA18174816,Karnataka,1320,8.9
623,KA58012796,Karnataka,400,4.2
624,MH45749032,Maharashtra,1240,2.1
625,TN59040712,Tamilnadu,1380,8.5
626,KA58242032,Karnataka,800,7.6
627,MH63849738,Maharashtra,1740,2.9
628,TN15358448,Tamilnadu,1400,8.1
629,TN30047648,Tamilnadu,960,5.3
630,TN53885579,Tamilnadu,550,2.3
631,TN58660010,Tamilnadu,480,5.6
632,MH57335117,Maharashtra,1750,3.1
633,KA75445157,Karnataka,630,2.2
634,TN71303369,Tamilnadu,1880,6.0
635,MH78166745,Maharashtra,610,2.9
636,MH97903048,Maharashtra,740,6.6
637,KA83209789,Karnataka,1760,3.6
638,KA69502439,Karnataka,2060,2.5
639,TN51619138,Tamilnadu,1470,7.7
640,MH40289663,Maharashtra,1520,7.8
641,KA45986109,Karnataka,1000,2.1
642,KA88184234,Karnataka,1890,7.0
643,KA53748621,Karnataka,500,9.7
644,MH72484968,Maharashtra,2150,2.5
645,TN30093249,Tamilnadu,1950,9.5
646,KA96546611,Karnataka,550,3.9
647,KA92049994,Karnataka,920,5.6
648,KA97265108,Karnataka,1910,2.9
649,TN54993150,Tamilnadu,850,6.6
650,TN92289659,Tamilnadu,960,8.3
651,MH90730009,Maharashtra,580,7.5
652,KA86649438,Karnataka,1360,3.9
653,MH56673388,Maharashtra,1710,3.5
654,TN80751335,Tamilnadu,1330,4.1
655,TN82974824,Tamilnadu,1140,4.6
656,KA20282349,Karnataka,400,7.9
657,MH68845049,Maharashtra,680,3.7
658,TN58598733,Tamilnadu,1070,4.4
659,KA81008063,Karnataka,740,6.1
660,KA15319500,Karnataka,1330,6.6
661,MH07001895,Maharashtra,710,7.6
662,TN31529525,Tamilnadu,820,6.4
663,TN30715370,Tamilnadu,1180,5.0
664,MH03295311,Maharashtra,2010,3.8
665,TN38512018,Tamilnadu,750,9.3
666,MH18875379,Maharashtra,2040,5.4
667,KA14158094,Karnataka,1210,6.7
668,TN57209098,Tamilnadu,630,6.0
669,TN71829197,Tamilnadu,1260,7.8
670,KA16899575,Karnataka,470,3.4
671,MH94337068,Maharashtra,1310,3.6
672,MH92277069,Maharashtra,1160,8.9
673,MH50097791,Maharashtra,960,4.6
674,TN46954114,Tamilnadu,1740,9.3
675,TN66729570,Tamilnadu,1280,7.0
676,KA06438944,Karnataka,1190,6.0
677,MH65759714,Maharashtra,1170,7.6
678,KA52812996,Karnataka,1420,7.2
679,KA04520245,Karnataka,1440,5.6
680,MH79445825,Maharashtra,1850,4.7
681,TN61654617,Tamilnadu,1180,7.6
682,TN40844176,Tamilnadu,570,5.3
683,MH44786311,Maharashtra,1820,3.9
684,TN97190837,Tamilnadu,2110,6.0
685,MH49793505,Maharashtra,520,5.1
686,KA48946353,Karnataka,2130,9.7
687,MH83402371,Maharashtra,1980,7.1
688,KA06115425,Karnataka,590,4.1
689,KA68298715,Karnataka,1280,3.8
690,TN70809923,Tamilnadu,1670,3.7
691,TN37064761,Tamilnadu,1720,9.5
692,TN92434264,Tamilnadu,1190,6.1
693,KA68763572,Karnataka,460,8.0
694,MH07160363,Maharashtra,970,7.6
695,MH86526036,Maharashtra,910,4.7
696,MH12576821,Maharashtra,2050,5.9
697,TN26724003,Tamilnadu,440,2.7
698,TN18588187,Tamilnadu,760,2.8
699,MH66009702,Maharashtra,1020,6.6
700,KA81209101,Karnataka,690,6.9
701,TN09672222,Tamilnadu,920,2.5
702,MH57241241,Maharashtra,1660,5.6
703,MH46015037,Maharashtra,1530,2.9
704,TN61577862,Tamilnadu,1850,6.7
705,TN39625441,Tamilnadu,600,8.9
706,KA10353684,Karnataka,2080,5.7
707,MH25627442,Maharashtra,1010,2.2
708,KA12463725,Karnataka,520,8.0
709,MH73587866,Maharashtra,1580,4.6
710,MH08697103,Maharashtra,2020,7.5
711,KA01043600,Karnataka,710,8.5
712,TN12350629,Tamilnadu,1810,7.9
713,KA69998218,Karnataka,2100,4.3
714,MH32991703,Maharashtra,1540,8.2
715,MH68801151,Maharashtra,1420,8.2
716,MH39082510,Maharashtra,1460,3.0
717,TN64794594,Tamilnadu,870,6.2
718,KA71776477,Karnataka,490,2.1
719,KA83809828,Karnataka,1880,8.4
720,TN83915901,Tamilnadu,1330,7.2
721,KA05508754,Karnataka,1920,9.4
722,MH73222149,Maharashtra,790,5.8
723,KA61597488,Karnataka,460,4.2
724,KA88649467,Karnataka,1730,4.0
725,KA95952345,Karnataka,1900,8.2
726,MH43980116,Maharashtra,1080,2.6
727,TN18455434,Tamilnadu,650,4.6
728,TN69050985,Tamilnadu,540,5.8
729,MH52816734,Maharashtra,1550,6.0
730,MH09539457,Maharashtra,440,5.3
731,MH97208716,Maharashtra,480,8.3
732,TN44611446,Tamilnadu,900,5.9
733,MH35001904,Maharashtra,1350,8.6
734,MH44039769,Maharashtra,530,2.9
735,MH28426684,Maharashtra,810,2.0
736,KA24534161,Karnataka,1100,8.6
737,MH15656438,Maharashtra,1200,5.6
738,MH54110557,Maharashtra,400,6.3
739,TN02260198,Tamilnadu,970,6.8
740,KA69614521,Karnataka,510,3.8
741,KA13856038,Karnataka,490,5.0
742,MH68038755,Maharashtra,630,9.2
743,MH66055983,Maharashtra,2130,3.9
744,TN42811671,Tamilnadu,1400,6.7
745,MH72664445,Maharashtra,2160,3.2
746,KA67810727,Karnataka,1010,4.4
747,MH03245040,Maharashtra,1430,4.3
748,TN06161682,Tamilnadu,780,8.7
749,MH91584298,Maharashtra,1760,9.0
750,MH85835160,Maharashtra,1390,6.3
751,KA88656533,Karnataka,530,2.1
752,KA94711509,Karnataka,1280,7.4
753,TN01708400,Tamilnadu,1470,3.8
754,MH17706902,Maharashtra,1560,5.6
755,KA73121343,Karnataka,1580,5.7
756,MH99426552,Maharashtra,1730,9.0
757,KA37453763,Karnataka,800,3.1
758,KA47218710,Karnataka,1180,9.2
759,MH01067729,Maharashtra,2040,5.5
760,KA04018957,Karnataka,1780,7.5
761,TN10913390,Tamilnadu,980,4.7
762,MH96558188,Maharashtra,2120,2.8
763,TN90554070,Tamilnadu,1940,4.3
764,KA97687467,Karnataka,1350,9.5
765,MH04315766,Maharashtra,720,5.5
766,MH97225775,Maharashtra,1990,4.9
767,TN07690785,Tamilnadu,1630,5.6
768,MH14914386,Maharashtra,1840,7.0
769,TN13916121,Tamilnadu,1940,8.5
770,MH73710356,Maharashtra,1490,2.6
771,MH60132055,Maharashtra,1260,9.2
772,MH78910768,Maharashtra,1330,9.1
773,MH72901410,Maharashtra,1850,3.1
774,MH18924114,Maharashtra,1820,5.9
775,MH03671092,Maharashtra,2040,9.9
776,TN62472647,Tamilnadu,1270,4.0
777,KA81795055,Karnataka,1520,3.7
778,KA91448019,Karnataka,1410,4.9
779,KA00576994,Karnataka,2050,9.8
780,TN46033765,Tamilnadu,1020,9.3
781,TN01397161,Tamilnadu,1860,9.1
782,TN55807678,Tamilnadu,1310,3.3
783,TN53286468,Tamilnadu,1230,6.6
784,TN27700112,Tamilnadu,1460,5.1
785,TN18013405,Tamilnadu,960,6.1
786,TN91747983,Tamilnadu,1030,2.9
787,MH92526365,Maharashtra,1180,8.6
788,KA62638333,Karnataka,820,9.1
789,KA67469130,Karnataka,820,7.4
790,KA60387882,Karnataka,1210,4.9
791,MH79235471,Maharashtra,660,9.2
792,MH83416323,Maharashtra,2050,6.0
793,TN79913065,Tamilnadu,1720,4.7
794,TN18167603,Tamilnadu,1860,4.9
795,MH36623075,Maharashtra,1210,4.1
796,TN32148565,Tamilnadu,1170,5.6
797,TN77723970,Tamilnadu,760,8.3
798,MH09395602,Maharashtra,740,2.1
799,MH20778972,Maharashtra,540,2.7
800,KA59425250,Karnataka,1160,2.9
801,MH94497748,Maharashtra,910,5.0
802,MH66756330,Maharashtra,550,4.1
803,TN01255683,Tamilnadu,820,7.9
804,MH09729414,Maharashtra,680,2.3
805,MH52071676,Maharashtra,450,3.2
806,KA26645742,Karnataka,1060,5.8
807,TN90221293,Tamilnadu,990,7.1
808,TN87445770,Tamilnadu,660,5.3
809,MH11121589,Maharashtra,2090,4.1
810,MH85880177,Maharashtra,760,6.3
811,MH36589821,Maharashtra,1590,4.1
812,MH67705849,Maharashtra,910,2.9
813,MH21089268,Maharashtra,1290,8.3
814,TN11537854,Tamilnadu,1580,9.0
815,KA43240401,Karnataka,660,8.0
816,KA84717238,Karnataka,1920,7.3
817,KA35955955,Karnataka,1150,9.4
818,MH48881982,Maharashtra,1940,5.3
819,KA23214354,Karnataka,2040,6.5
820,TN11879459,Tamilnadu,1210,4.7
821,MH98311729,Maharashtra,1170,8.3
822,TN33844657,Tamilnadu,440,8.5
823,MH42128816,Maharashtra,2200,4.5
824,MH99423049,Maharashtra,2020,7.1
825,TN45837500,Tamilnadu,540,7.4
826,MH83428272,Maharashtra,640,2.4
827,MH12461462,Maharashtra,730,6.1
828,MH79315760,Maharashtra,1480,9.9
829,KA58230404,Karnataka,2080,5.9
830,KA61468030,Karnataka,2000,5.9
831,TN95832142,Tamilnadu,1030,8.2
832,MH76966224,Maharashtra,1930,2.1
833,MH19292298,Maharashtra,960,4.1
834,KA08567505,Karnataka,1500,9.2
835,MH61805224,Maharashtra,620,5.0
836,MH00915137,Maharashtra,410,5.4
837,MH10630754,Maharashtra,2180,5.3
838,KA22776938,Karnataka,1980,8.3
839,MH07789458,Maharashtra,470,6.2
840,TN78866850,Tamilnadu,1350,2.8
841,KA83313479,Karnataka,840,7.8
842,KA23925168,Karnataka,1390,6.2
843,MH56822571,Maharashtra,2050,5.5
844,TN27331170,Tamilnadu,1030,2.6
845,TN05420315,Tamilnadu,1540,7.8
846,MH75663193,Maharashtra,1290,4.2
847,KA34099889,Karnataka,610,3.0
848,TN95286655,Tamilnadu,1740,4.7
849,KA77252289,Karnataka,560,7.3
850,TN06385057,Tamilnadu,2200,4.4
851,KA79483711,Karnataka,2010,7.1
852,TN54884977,Tamilnadu,1410,9.7
853,TN27898086,Tamilnadu,580,5.6
854,MH37874216,Maharashtra,800,4.7
855,KA61953284,Karnataka,650,5.1
856,MH01743425,Maharashtra,1180,3.9
857,MH60657480,Maharashtra,910,3.0
858,KA52849374,Karnataka,1780,5.2
859,TN70689266,Tamilnadu,560,3.8
860,KA93237680,Karnataka,1240,6.4
861,TN07610059,Tamilnadu,2190,4.1
862,KA36048786,Karnataka,750,9.9
863,KA30146341,Karnataka,1690,6.7
864,TN09044777,Tamilnadu,1250,2.2
865,TN39543219,Tamilnadu,890,2.2
866,MH70704136,Maharashtra,2050,9.7
867,MH89240694,Maharashtra,1080,3.7
868,TN97068143,Tamilnadu,830,9.9
869,MH40048741,Maharashtra,1310,8.2
870,KA13200664,Karnataka,710,5.4
871,KA87740080,Karnataka,1180,7.0
872,MH56256628,Maharashtra,2180,8.1
873,MH52454851,Maharashtra,950,8.3
874,KA72167885,Karnataka,1480,9.2
875,KA78498280,Karnataka,2170,9.6
876,TN13608071,Tamilnadu,680,8.3
877,MH75964603,Maharashtra,1660,6.7
878,TN68350239,Tamilnadu,660,9.0
879,TN42510352,Tamilnadu,2160,2.5
880,KA32110913,Karnataka,1700,3.5
881,TN81661572,Tamilnadu,1360,3.5
882,MH75312978,Maharashtra,1970,5.0
883,KA78920507,Karnataka,2020,7.1
884,TN08825926,Tamilnadu,1440,6.7
885,TN22764652,Tamilnadu,610,3.0
886,MH20460372,Maharashtra,1130,5.3
887,KA50393848,Karnataka,1350,4.8
888,KA77973917,Karnataka,1850,9.1
889,KA94965452,Karnataka,930,4.5
890,KA65890127,Karnataka,1410,8.3
891,TN36400539,Tamilnadu,1040,2.8
892,TN35190288,Tamilnadu,1660,3.8
893,KA51197926,Karnataka,1360,6.9
894,MH01310429,Maharashtra,2090,4.2
895,KA14975967,Karnataka,740,7.3
896,MH67852093,Maharashtra,1410,5.9
897,TN66908463,Tamilnadu,400,8.8
898,MH98712069,Maharashtra,2130,7.5
899,MH40185644,Maharashtra,1040,9.6
900,MH77194596,Maharashtra,1270,4.8
901,MH30531567,Maharashtra,990,5.7
902,MH56777895,Maharashtra,2050,7.8
903,TN53896520,Tamilnadu,1890,7.1
904,TN21683107,Tamilnadu,800,3.0
905,TN53301147,Tamilnadu,410,8.9
906,KA30909908,Karnataka,1270,7.0
907,TN69813948,Tamilnadu,2130,8.0
908,KA69133503,Karnataka,1970,8.3
909,TN16735316,Tamilnadu,2150,4.5
910,KA73899327,Karnataka,460,4.0
911,KA31164955,Karnataka,1540,4.8
912,KA26247861,Karnataka,1190,8.1
913,MH83161636,Maharashtra,1720,4.6
914,MH50079193,Maharashtra,680,6.8
915,MH53259370,Maharashtra,1080,9.3
916,KA31053334,Karnataka,1480,2.8
917,KA39310149,Karnataka,1410,6.5
918,MH12606252,Maharashtra,500,2.8
919,MH18167320,Maharashtra,1910,2.0
920,KA87151978,Karnataka,1820,7.8
921,MH11409984,Maharashtra,1880,9.0
922,MH76697838,Maharashtra,760,6.0
923,KA16642256,Karnataka,1470,3.0
924,KA60016393,Karnataka,1030,5.0
925,KA57346212,Karnataka,2120,3.9
926,KA68059828,Karnataka,1650,8.8
927,KA33849423,Karnataka,1420,6.2
928,KA92237315,Karnataka,1440,5.1
929,MH81834853,Maharashtra,1500,5.9
930,TN38048944,Tamilnadu,1630,8.7
931,KA57994178,Karnataka,1840,2.5
932,KA49774726,Karnataka,1920,3.2
933,TN00940696,Tamilnadu,2060,6.0
934,MH65734223,Maharashtra,1120,5.5
935,MH40552385,Maharashtra,1020,9.9
936,KA65485705,Karnataka,1980,3.2
937,TN56169546,Tamilnadu,900,10.0
938,MH76416729,Maharashtra,1150,2.8
939,MH59943457,Maharashtra,550,4.4
940,MH78904705,Maharashtra,1090,4.1
941,KA00436472,Karnataka,550,6.1
942,TN18134087,Tamilnadu,1320,3.4
943,TN08618191,Tamilnadu,460,7.2
944,MH36334490,Maharashtra,420,8.9
945,KA91747693,Karnataka,890,3.6
946,TN51195595,Tamilnadu,900,5.8
947,TN41046067,Tamilnadu,1420,2.7
948,TN69452161,Tamilnadu,530,7.5
949,TN37366407,Tamilnadu,870,4.3
950,KA63280968,Karnataka,480,9.9
951,TN22312938,Tamilnadu,1620,8.1
952,TN54421592,Tamilnadu,1930,7.9
953,TN80515036,Tamilnadu,1490,3.6
954,MH11634799,Maharashtra,810,8.1
955,TN11690900,Tamilnadu,530,9.2
956,KA81165841,Karnataka,1380,8.1
957,KA39024596,Karnataka,1700,5.6
958,TN13975159,Tamilnadu,1940,4.9
959,TN63075106,Tamilnadu,2070,5.3
960,TN94426564,Tamilnadu,1060,9.0
961,MH93745987,Maharashtra,1180,8.6
962,KA72258644,Karnataka,1760,9.1
963,TN04208242,Tamilnadu,670,3.5
964,MH45996641,Maharashtra,1580,7.2
965,KA14585463,Karnataka,2130,6.0
966,MH76622229,Maharashtra,810,4.6
967,MH77417183,Maharashtra,1980,8.8
968,MH22532343,Maharashtra,1940,6.5
969,TN54041387,Tamilnadu,1670,2.6
970,KA17445733,Karnataka,1170,8.4
971,KA93405508,Karnataka,1550,4.7
972,KA70852462,Karnataka,1740,5.4
973,KA87155006,Karnataka,2040,5.3
974,MH43357833,Maharashtra,1500,8.1
975,MH24315128,Maharashtra,520,5.5
976,TN45552953,Tamilnadu,1240,7.6
977,MH18290790,Maharashtra,1690,6.5
978,MH07082221,Maharashtra,670,9.0
979,KA19390376,Karnataka,1280,5.6
980,KA45754760,Karnataka,1620,7.1
981,TN51893453,Tamilnadu,1700,2.4
982,KA03479346,Karnataka,2040,2.1
983,TN05553556,Tamilnadu,1110,5.3
984,KA86403535,Karnataka,1010,6.5
985,TN23687028,Tamilnadu,1790,5.5
986,KA36970858,Karnataka,1300,8.6
987,MH38461439,Maharashtra,2200,3.0
988,KA20076818,Karnataka,1340,7.1
989,TN13118419,Tamilnadu,910,6.2
990,KA14225819,Karnataka,470,2.6
991,MH29527861,Maharashtra,910,2.2
992,MH29382347,Maharashtra,2160,8.2
993,MH11989011,Maharashtra,2110,2.0
994,KA25450392,Karnataka,1450,9.0
995,KA66177616,Karnataka,2030,2.3
996,MH45682094,Maharashtra,1340,2.4
997,TN79155458,Tamilnadu,1620,4.6
998,KA26726731,Karnataka,850,8.0
999,TN09700536,Tamilnadu,1550,5.3
1000,MH38559747,Maharashtra,600,4.0
